epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
36,0.3743,1.9108,"[ 0.39714759  0.33321044 -0.0956136  -0.09908922  0.27381662  0.30260584
  0.59919143  1.04995083  0.98648682  0.46105365 -0.05037121  0.84202974
  1.03520235  0.77227341  0.7743165   1.03229908  0.84909984 -0.14800811
  0.4780456   0.3724684   0.69971477  1.17215688  0.45833156  0.874435
  0.60806528  0.68713731  0.50162826 -0.14280497 -0.06757125  0.30541968
  0.56746843  0.12342282]",14.359
37,0.3768,1.9506,"[ 0.39118982  0.3272116  -0.10161237 -0.10508844  0.26783007  0.30859645
  0.59319235  1.05594971  0.99248424  0.46705324 -0.05637015  0.84802878
  1.04120214  0.76628047  0.76835666  1.03829611  0.85509555 -0.15399592
  0.48403984  0.36682815  0.69372941  1.17814271  0.45233335  0.8803721
  0.61405942  0.68113755  0.49562846 -0.14880486 -0.07357077  0.29942161
  0.56147239  0.11742483]",14.3368
38,0.3734,1.936,"[ 0.38527115  0.32121277 -0.10761112 -0.11108767  0.26184339  0.31458739
  0.58719326  1.06194858  0.99848147  0.47305283 -0.0623691   0.85402782
  1.04720192  0.76028726  0.76239003  1.04429311  0.86109127 -0.15998359
  0.49003403  0.3611665   0.68774321  1.1841287   0.44633539  0.88631542
  0.62005363  0.6751378   0.48962865 -0.15480475 -0.0795703   0.29342359
  0.55547643  0.11142684]",14.3154
39,0.3714,1.9302,"[ 0.38349189  0.31521394 -0.11360988 -0.11708692  0.25585646  0.32057872
  0.58119415  1.06794744  1.00447841  0.47905243 -0.06836808  0.86002686
  1.0532017   0.75429375  0.75641811  1.0502901   0.86708704 -0.16597122
  0.49602823  0.35548332  0.68175614  1.19011497  0.44033786  0.89226467
  0.62604796  0.66913805  0.48362885 -0.16080464 -0.08556984  0.28742561
  0.54948053  0.10542882]",14.2962
40,0.3758,1.9006,"[ 0.38942222  0.3092151  -0.11960863 -0.12308618  0.24986938  0.32657033
  0.57519504  1.07394632  1.010475    0.48505202 -0.07436708  0.86602592
  1.05920147  0.74829997  0.7504423   1.05628703  0.87308284 -0.17195858
  0.50202245  0.34978094  0.67576828  1.19610152  0.43434083  0.89821847
  0.63204232  0.6631383   0.47762905 -0.16680453 -0.09156939  0.28142772
  0.5434847   0.09943082]",14.2805
41,0.3765,1.8817,"[ 0.39539646  0.30321625 -0.12560738 -0.12908545  0.24388223  0.33256214
  0.56919593  1.0799452   1.01647133  0.49105161 -0.08036609  0.87202498
  1.06520125  0.74230595  0.74446353  1.06228388  0.87907864 -0.17794554
  0.50801668  0.34406201  0.66977974  1.20208829  0.42834442  0.90417598
  0.63803664  0.65713856  0.47162925 -0.17280443 -0.09756894  0.27542995
  0.53748895  0.09343283]",14.2655
42,0.3734,1.9084,"[ 0.40138012  0.29721738 -0.13160614 -0.13508474  0.23789482  0.33855425
  0.5631968   1.0859441   1.02246735  0.49705121 -0.08636512  0.87802404
  1.07120103  0.73631163  0.73848213  1.06828068  0.8850745  -0.18393225
  0.51401099  0.33832495  0.66379044  1.20807546  0.42234944  0.91013731
  0.644031    0.65113882  0.46562945 -0.17880432 -0.1035685   0.26943227
  0.53149323  0.08743486]",14.2511
43,0.3697,1.8882,"[ 0.40736711  0.29121851 -0.13760488 -0.14108403  0.23190742  0.34454648
  0.55719768  1.09194301  1.0284626   0.50305079 -0.09236416  0.8840231
  1.0772008   0.73031715  0.73249892  1.07427736  0.89107033 -0.18991837
  0.52000524  0.3325768   0.65780069  1.2140627   0.41635743  0.91610127
  0.65002526  0.64513908  0.45962965 -0.18480422 -0.10956806  0.26343476
  0.52549765  0.08143693]",14.2374
44,0.3733,1.8936,"[ 0.41335682  0.28521963 -0.14360363 -0.14708335  0.22591981  0.35053896
  0.55119856  1.09794193  1.03445699  0.50905038 -0.09836321  0.89002215
  1.08320057  0.72432243  0.72651394  1.08027399  0.89706618 -0.19590411
  0.52599951  0.32681473  0.65181035  1.22005022  0.41039197  0.92206815
  0.6560195   0.63913935  0.45362985 -0.19080411 -0.11556763  0.25743738
  0.51950212  0.07543902]",14.2244
45,0.3702,1.9653,"[ 0.41934837  0.27922074 -0.14960237 -0.15308267  0.21993202  0.35653162
  0.54519943  1.10394085  1.04045037  0.51504997 -0.10436228  0.89602121
  1.08920034  0.71832751  0.72052758  1.08627052  0.90306199 -0.20188922
  0.53199374  0.32104248  0.64581955  1.22603794  0.41236971  0.92803752
  0.66201368  0.63313962  0.44763005 -0.19680401 -0.1215672   0.25144018
  0.51350678  0.06944116]",14.2162
